Timestamp,IP_Address,Request_Type,Status_Code,Log_Data
2024-05-10 21:25:18.827866,127.0.0.1,GET,200,"{'Timestamp': Timestamp('2024-05-10 21:25:18.498838'), 'IP_Address': '233.23.85.201', 'Country': 'Germany', 'AthleteNames': 'Simone Biles', 'Sports': 'Tennis', 'Age': 27, 'Gender': 'Male', 'Nationality': 'India', 'Match_or_sport_event_dates': Timestamp('2024-05-10 21:25:18.498889'), 'Outcomes': 'Draw', 'Medals': 'Bronze', 'Ranks': 2, 'Stadiums': 'Madison Square Garden', 'Athlete_Height': 202, 'Athlete_Weight': 97, 'Date_of_Birth': Timestamp('1985-05-10 21:25:18.498905')}"
2024-05-10 21:25:18.827947,127.0.0.1,GET,200,"{'Timestamp': Timestamp('2024-05-10 21:25:18.499049'), 'IP_Address': '28.212.247.94', 'Country': 'Russia', 'AthleteNames': 'Usain Bolt', 'Sports': 'Gymnastics', 'Age': 28, 'Gender': 'Female', 'Nationality': 'India', 'Match_or_sport_event_dates': Timestamp('2024-05-10 21:25:18.499070'), 'Outcomes': 'Win', 'Medals': 'Silver', 'Ranks': 9, 'Stadiums': 'Olympic Stadium', 'Athlete_Height': 204, 'Athlete_Weight': 125, 'Date_of_Birth': Timestamp('2005-05-10 21:25:18.499081')}"
2024-05-10 21:25:18.827960,127.0.0.1,GET,200,"{'Timestamp': Timestamp('2024-05-10 21:25:18.499167'), 'IP_Address': '191.112.96.154', 'Country': 'USA', 'AthleteNames': 'Lionel Messi', 'Sports': 'Athletics', 'Age': 20, 'Gender': 'Male', 'Nationality': 'India', 'Match_or_sport_event_dates': Timestamp('2024-05-10 21:25:18.499186'), 'Outcomes': 'Win', 'Medals': 'Silver', 'Ranks': 9, 'Stadiums': ""Bird's Nest"", 'Athlete_Height': 204, 'Athlete_Weight': 144, 'Date_of_Birth': Timestamp('1990-05-10 21:25:18.499197')}"
2024-05-10 21:25:18.827966,127.0.0.1,GET,200,"{'Timestamp': Timestamp('2024-05-10 21:25:18.499276'), 'IP_Address': '246.157.161.220', 'Country': 'USA', 'AthleteNames': 'Serena Williams', 'Sports': 'Athletics', 'Age': 28, 'Gender': 'Male', 'Nationality': 'USA', 'Match_or_sport_event_dates': Timestamp('2024-05-10 21:25:18.499294'), 'Outcomes': 'Lose', 'Medals': 'Bronze', 'Ranks': 9, 'Stadiums': ""Bird's Nest"", 'Athlete_Height': 191, 'Athlete_Weight': 90, 'Date_of_Birth': Timestamp('1984-05-10 21:25:18.499305')}"
2024-05-10 21:25:18.827971,127.0.0.1,GET,200,"{'Timestamp': Timestamp('2024-05-10 21:25:18.499381'), 'IP_Address': '21.139.174.227', 'Country': 'China', 'AthleteNames': 'Usain Bolt', 'Sports': 'Tennis', 'Age': 22, 'Gender': 'Female', 'Nationality': 'India', 'Match_or_sport_event_dates': Timestamp('2024-05-10 21:25:18.499400'), 'Outcomes': 'Draw', 'Medals': 'Silver', 'Ranks': 7, 'Stadiums': 'Madison Square Garden', 'Athlete_Height': 203, 'Athlete_Weight': 68, 'Date_of_Birth': Timestamp('2002-05-10 21:25:18.499412')}"
2024-05-10 21:25:18.827975,127.0.0.1,GET,200,"{'Timestamp': Timestamp('2024-05-10 21:25:18.499487'), 'IP_Address': '231.216.139.26', 'Country': 'India', 'AthleteNames': 'Michael Phelps', 'Sports': 'Tennis', 'Age': 24, 'Gender': 'Male', 'Nationality': 'Russia', 'Match_or_sport_event_dates': Timestamp('2024-05-10 21:25:18.499505'), 'Outcomes': 'Win', 'Medals': 'Gold', 'Ranks': 2, 'Stadiums': 'Olympic Stadium', 'Athlete_Height': 199, 'Athlete_Weight': 131, 'Date_of_Birth': Timestamp('2006-05-10 21:25:18.499516')}"
2024-05-10 21:25:18.827980,127.0.0.1,GET,200,"{'Timestamp': Timestamp('2024-05-10 21:25:18.499618'), 'IP_Address': '237.164.246.139', 'Country': 'USA', 'AthleteNames': 'Simone Biles', 'Sports': 'Gymnastics', 'Age': 20, 'Gender': 'Male', 'Nationality': 'Germany', 'Match_or_sport_event_dates': Timestamp('2024-05-10 21:25:18.499638'), 'Outcomes': 'Draw', 'Medals': '', 'Ranks': 7, 'Stadiums': 'Wembley Stadium', 'Athlete_Height': 175, 'Athlete_Weight': 142, 'Date_of_Birth': Timestamp('2003-05-10 21:25:18.499650')}"
2024-05-10 21:25:18.827985,127.0.0.1,GET,200,"{'Timestamp': Timestamp('2024-05-10 21:25:18.499741'), 'IP_Address': '138.49.17.41', 'Country': 'India', 'AthleteNames': 'Usain Bolt', 'Sports': 'Swimming', 'Age': 37, 'Gender': 'Male', 'Nationality': 'India', 'Match_or_sport_event_dates': Timestamp('2024-05-10 21:25:18.499758'), 'Outcomes': 'Lose', 'Medals': 'Bronze', 'Ranks': 6, 'Stadiums': ""Bird's Nest"", 'Athlete_Height': 167, 'Athlete_Weight': 81, 'Date_of_Birth': Timestamp('1998-05-10 21:25:18.499770')}"
2024-05-10 21:25:18.827989,127.0.0.1,GET,200,"{'Timestamp': Timestamp('2024-05-10 21:25:18.499843'), 'IP_Address': '246.19.196.240', 'Country': 'Russia', 'AthleteNames': 'Simone Biles', 'Sports': 'Athletics', 'Age': 26, 'Gender': 'Male', 'Nationality': 'China', 'Match_or_sport_event_dates': Timestamp('2024-05-10 21:25:18.499861'), 'Outcomes': 'Lose', 'Medals': 'Silver', 'Ranks': 1, 'Stadiums': 'Wembley Stadium', 'Athlete_Height': 199, 'Athlete_Weight': 55, 'Date_of_Birth': Timestamp('1987-05-10 21:25:18.499872')}"
2024-05-10 21:25:18.827994,127.0.0.1,GET,200,"{'Timestamp': Timestamp('2024-05-10 21:25:18.500030'), 'IP_Address': '208.238.236.93', 'Country': 'USA', 'AthleteNames': 'Lionel Messi', 'Sports': 'Athletics', 'Age': 25, 'Gender': 'Female', 'Nationality': 'India', 'Match_or_sport_event_dates': Timestamp('2024-05-10 21:25:18.500093'), 'Outcomes': 'Draw', 'Medals': 'Silver', 'Ranks': 4, 'Stadiums': 'Olympic Stadium', 'Athlete_Height': 191, 'Athlete_Weight': 116, 'Date_of_Birth': Timestamp('1989-05-10 21:25:18.500109')}"
